Pozo;Ubicación/Calle/Dirección;Asignación;Dias y Hora Servicio
POZO_LLAVALLOL_LO135;Macedonio Rodriguez y Matienzo, a 1500 mts del Pozo N° 140.;Movil 1 La Lata - 113241-1045;Todos los dias 24 hs
POZO_LLAVALLOL_LO139;Amat y Mercedes a 1500 mts del Pozo N° 133.;Movil 1 La Lata - 113241-1045;Todos los dias 24 hs
POZO_LLAVALLOL_LO140;Amat al 2900, a 1000 mts del Pozo N° 139.;Movil 1 La Lata - 113241-1045;Todos los dias 24 hs
POZO_LLAVALLOL_LO119;Pino y Ombú;Movil 1 La Lata - 113241-1045;Todos los dias 24 hs
POZO_LA_LATA_EE027;Maipu 971 esq. Colón;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_LA_LATA_EE029;Lavalle y Junín, a 800 mts de Planta Tratamiento La Lata;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_LA_LATA_EE030;Lavalle y Calle N° 13, a 600 mts del Pozo N° 29.;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_LA_LATA_EE031;Lavalle y Calle N° 15, a 1000 mts del Pozo N° 30.;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_LA_LATA_EE032;Lavalle y Torquinst, a 800 mts del Pozo N° 31.;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_LA_LATA_EE033;Lavalle y Villariño, a 800 mts del Pozo N° 32.;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_LA_LATA_EE035;Avila y Juana de Arco, a 1200 mts del Pozo 27 y 700 mts del Pozo 36;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_LA_LATA_EE036;Avila a 700 mts del Pozo 35.;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_LA_LATA_EE046;Lavalle y Ruta N° 16 a 800 mts del Pozo N° 33;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_BURZACO_LO078;Arenales y José Ingenieros, a 700 mts de Camino de Cintura.;Movil 1 La Lata - 113241-1045;Todos los dias 24 hs
POZO_BURZACO_LO142;José Ingenieros y Melián, a 100 mts del Pozo  N° 78.;Movil 1 La Lata - 113241-1045;Todos los dias 24 hs
POZO_BURZACO_LO132;José Ingenieros al 2700 y Founrouge, detrás del Parque Industrial Burzaco.;Movil 1 La Lata - 113241-1045;Todos los dias 24 hs
POZO_BURZACO_LO093;Ruta N° 16 y José Ingenieros a 1500 mts del Pozo 137.;Movil 1 La Lata - 113241-1045;Todos los dias 24 hs
POZO_BURZACO_LO126;Av. Argentina y Founrouge, a 800 mts del Pozo N° 144.;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_LA_LATA_EE073;Gral. Villegas y C. Colón - Esteban Echeverría;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_BURZACO_LO149;Rene Vallo y J. Melián (plaza) Burzaco . Pdo. de Almirante Brown.;Movil 1 La Lata - 113241-1045;Todos los dias 24 hs
POZO_LA_LATA_EE040;Ventura Avila y Juana de Arco - Esteban Echeverría;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_LA_LATA_EE044;Juana de Arco a 500mt del Pozo EE045;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_BURZACO_LO086;RP 16  e/ Posadas y Hilario Ascasubi;Movil 1 La Lata - 113241-1045;Todos los dias 24 hs
POZO_BURZACO_LO087;RP 16  e/ Malvinas Argentinas y Boulogne Sur Mer;Movil 1 La Lata - 113241-1045;Todos los dias 24 hs
POZO_BURZACO_LO145;Villarino e/ Av. Argentina y Leandro N. Alem;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_LA_LATA_EE028;General Lavalle 4001 y Maipú.;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_LA_LATA_EE034;Maipú e/Crristobal Colón y Ventura Ávila.;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_BURZACO_LO079;Juan Alvarez de Arenales a 200 mts. de Luis María Drago;Movil 1 La Lata - 113241-1045;Todos los dias 24 hs
POZO_BURZACO_LO144;Av. Argentina a 400m de RP16;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_BURZACO_LO084;Luis Maria Drago 2633 - Lomas de Zamora;Movil 1 La Lata - 113241-1045;Todos los dias 24 hs
POZO_BURZACO_LO085;Luis Maria Drago e/ las Flores y Founrouge - Lomas de Zamora;Movil 1 La Lata - 113241-1045;Todos los dias 24 hs
POZO_BURZACO_LO121;J. Ingenieros 2880;Movil 1 La Lata - 113241-1045;Todos los dias 24 hs
POZO_BURZACO_LO122;J. Ingenieros 2300;Movil 1 La Lata - 113241-1045;Todos los dias 24 hs
POZO_LLAVALLOL_LO120;Cairo501;Movil 1 La Lata - 113241-1045;Todos los dias 24 hs
POZO_BURZACO_LO147;Magnolia 2099 (a mts. de Baldomero Fdz Moreno);Movil 1 La Lata - 113241-1045;Todos los dias 24 hs
POZO_BURZACO_LO146;Calle Pintos 2007 e / Viel y Florida;Movil 1 La Lata - 113241-1045;Todos los dias 24 hs
POZO_BURZACO_LO083;Drago 2301;Movil 1 La Lata - 113241-1045;Todos los dias 24 hs
POZO_BURZACO_LO081;Luis Maria Drago1601;Movil 1 La Lata - 113241-1045;Todos los dias 24 hs
POZO_BURZACO_AB096;Tornquist 2905;Movil 1 La Lata - 113241-1045;Todos los dias 24 hs
POZO_LA_LATA_EE059;Avila Ventura 4600;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_LA_LATA_EE041;Avila Ventura 5003;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_LA_LATA_EE042;Avila Ventura 5005;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_LA_LATA_EE045;Juana de Arco 100;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_LA_LATA_EE058;Avila Ventura 3000;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_LA_LATA_EE057;Chiringuano 3800;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_BURZACO_AB097;Prov. Santiago del Estero 3075;Movil 1 La Lata - 113241-1045;Todos los dias 24 hs
POZO_P. PERON_GU011 - BAJA;Alfonso Amat 4598 - Lomas de Zamora;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_P. PERON_GU010;Enrique Santos Discépolo 4198, ent/ Eduardo Gutiérrez y Violeta Antier - Presidente Perón;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_LA_LATA_EE043;Juana de Arco 300 - Esteban Echeverria;Movil 4 Ezeiza - 113955-6058;Todos los dias 24 hs
POZO_F. VARELA_FV094;Calle 1364 al 3465;Movil 10 La Capilla - 113950-1737;Todos los dias 24 hs
POZO_F. VARELA_FV068;Calle 1108 S/N;Movil 10 La Capilla - 113950-1737;Todos los dias 24 hs
POZO_F. VARELA_FV069;Calle 1108 S/N;Movil 10 La Capilla - 113950-1737;Todos los dias 24 hs
POZO_F. VARELA_FV093;Calle 1681 S/N;Movil 10 La Capilla - 113950-1737;Todos los dias 24 hs
POZO_F. VARELA_FV067;Calle 1108 S/N;Movil 10 La Capilla - 113950-1737;Todos los dias 24 hs
POZO_F. VARELA_FV038;Calle 1423 S/N;Movil 10 La Capilla - 113950-1737;Todos los dias 24 hs
POZO_F. VARELA_FV116;Calle 1323 1590;Movil 10 La Capilla - 113950-1737;Todos los dias 24 hs
POZO_F. VARELA_FV036;Calle 1422 y Eva Perón;Movil 10 La Capilla - 113950-1737;Todos los dias 24 hs
POZO_F. VARELA_FV164;C.1155 esq. C.1138, INGENIERO_JUAN_ALLAN;Movil 10 La Capilla - 113950-1737;Todos los dias 24 hs
POZO_F. VARELA_FV127;C. 1151 casi esq. C.1130;Movil 10 La Capilla - 113950-1737;Todos los dias 24 hs
POZO_F. VARELA_FV166;calle 1440 y 1455 - Florencio Varela;Movil 10 La Capilla - 113950-1737;Todos los dias 24 hs
POZO_F. VARELA_FV088;Calle 1327 s/n;Movil 10 La Capilla - 113950-1737;Todos los dias 24 hs
POZO_F. VARELA_FV089;Calle 1356 1700;Movil 10 La Capilla - 113950-1737;Todos los dias 24 hs
POZO_F. VARELA_FV086;Calle 1374 900;Movil 10 La Capilla - 113950-1737;Todos los dias 24 hs
POZO_F. VARELA_FV087;Calle 1364 87;Movil 10 La Capilla - 113950-1737;Todos los dias 24 hs
POZO_F. VARELA_FV167;C_1122 y C_1145 - Florencio Varela;Movil 10 La Capilla - 113950-1737;Todos los dias 24 hs
POZO_F. VARELA_FV158;calle 1440 a 400mt de calle 1430 - Florencio Varela          ;Movil 10 La Capilla - 113950-1737;Todos los dias 24 hs
POZO_F. VARELA_FV159;calle 1440 e/ 1430 y Chivilcoy. Florencio Varela;Movil 10 La Capilla - 113950-1737;Todos los dias 24 hs
POZO_F. VARELA_FV168;C_1136 y C_1149 - Florencio Varela;Movil 10 La Capilla - 113950-1737;Todos los dias 24 hs
POZO_F. VARELA_FV133;Calle 1151 911;Movil 10 La Capilla - 113950-1737;Todos los dias 24 hs
POZO_F. VARELA_FV070;Calle 1108 S/N;Movil 10 La Capilla - 113950-1737;Todos los dias 24 hs
POZO_F. VARELA_FV092;Calle 1345 S/N;Movil 10 La Capilla - 113950-1737;Todos los dias 24 hs
POZO_F. VARELA_FV084;Calle 1610 S/N;Movil 10 La Capilla - 113950-1737;Todos los dias 24 hs
POZO_F. VARELA_FV090;Avenida la Plata 1200;Movil 10 La Capilla - 113950-1737;Todos los dias 24 hs
POZO_F. VARELA_FV149;Avenida la Plata a 800mts FV147;Movil 10 La Capilla - 113950-1737;Todos los dias 24 hs
POZO_F. VARELA_FV085;Calle 1653 S/N;Movil 10 La Capilla - 113950-1737;Todos los dias 24 hs
POZO_F. VARELA_FV132;Calle 1425 1641;Movil 10 La Capilla - 113950-1737;Todos los dias 24 hs
POZO_F. VARELA_FV157;1443 & 1430 - Florencio Varela;Movil 10 La Capilla - 113950-1737;Todos los dias 24 hs
POZO_F. VARELA_FV144;La Plata 1700;Movil 10 La Capilla - 113950-1737;Todos los dias 24 hs
POZO_F. VARELA_FV147;Av. La Plata 50;Movil 10 La Capilla - 113950-1737;Todos los dias 24 hs
POZO_F. VARELA_FV146;Calle 1356 4100;Movil 10 La Capilla - 113950-1737;Todos los dias 24 hs
POZO_F. VARELA_FV148;Calle 153a 301;Movil 10 La Capilla - 113950-1737;Todos los dias 24 hs
POZO_F. VARELA_FV037;Calle 1432 976;Movil 10 La Capilla - 113950-1737;Todos los dias 24 hs
POZO_MORENO_MR076;Hipólito Yrigoyen y San Luis - Moreno;Movil 14 Moreno - 113665-1848;Todos los dias 24 hs
POZO_MERLO_ME102;Dávila y Fraga – Merlo;Movil 14 Moreno - 113665-1848;Todos los dias 24 hs
POZO_MERLO_ME108;Av. Argentina e/ Ramón Freire y Juan Pedernera, Merlo;Movil 14 Moreno - 113665-1848;Todos los dias 24 hs
POZO_MERLO_ME048;Alvarez Jonte y Las Dalias, Merlo;Movil 14 Moreno - 113665-1848;Todos los dias 24 hs
POZO_MORENO_MR088;Lobos  e/ Misiones y J. Hernández - Moreno;Movil 14 Moreno - 113665-1848;Todos los dias 24 hs
POZO_MORENO_MR086;Ecuador  y Márquez - Moreno;Movil 14 Moreno - 113665-1848;Todos los dias 24 hs
POZO_MORENO_MR037;Ricardo Güiraldes, e/ Manuel de Lavardén y Pastor Obligado;Movil 14 Moreno - 113665-1848;Todos los dias 24 hs
POZO_MORENO_MR100;Morón e/ Facundo Quiroga y Arribeños;Movil 14 Moreno - 113665-1848;Todos los dias 24 hs
POZO_MORENO_MR095;Uruguay y Chiclana, Moreno;Movil 14 Moreno - 113665-1848;Todos los dias 24 hs
POZO_MORENO_MR074;Ecuador y Autospista del Oeste, colectora Norte - Moreno;Movil 14 Moreno - 113665-1848;Todos los dias 24 hs
POZO_MORENO_MR093;Mendoza y José Ingenieros - Moreno.;Movil 14 Moreno - 113665-1848;Todos los dias 24 hs
POZO_MORENO_MR079;San Cayetano y Juana de Azurduy -  Partido de Moreno.;Movil 14 Moreno - 113665-1848;Todos los dias 24 hs
POZO_MERLO_ME089;Curapaligüe y 25 de Mayo - Merlo;Movil 14 Moreno - 113665-1848;Todos los dias 24 hs
POZO_MORENO_MR097;Lincoln entre La Tropilla y Entre Ríos, Moreno;Movil 14 Moreno - 113665-1848;Todos los dias 24 hs
POZO_MORENO_MR027;Ecuador 5700 esq. La Plata, Moreno;Movil 14 Moreno - 113665-1848;Todos los dias 24 hs
POZO_MORENO_MR099;Marcos Paz entre Larrea y J.J. de Urquiza, Moreno;Movil 14 Moreno - 113665-1848;Todos los dias 24 hs
POZO_MORENO_ME037;AMADO NERVO 2450 e/ANCON Y C. AMPERE - MERLO;Movil 14 Moreno - 113665-1848;Todos los dias 24 hs
POZO_MORENO_ME038;TILCARA Y LUIS CAMPOS;Movil 14 Moreno - 113665-1848;Todos los dias 24 hs
POZO_MORENO_ME039;LUIS CAMPOS Y AGUARIBAY;Movil 14 Moreno - 113665-1848;Todos los dias 24 hs
POZO_MORENO_ME040;LOS JACINTOS 1523 casi ETIOPIA;Movil 14 Moreno - 113665-1848;Todos los dias 24 hs
POZO_MORENO_ME041;LAS RETAMAS casi ACHALA ;Movil 14 Moreno - 113665-1848;Todos los dias 24 hs
POZO_MORENO_ME042;Garmendia 1552 (esq. Mónaco) - Merlo - Merlo;Movil 14 Moreno - 113665-1848;Todos los dias 24 hs
POZO_MORENO_ME044;J. Newbery 295 casi Los Pensamientos - Parque San Martín - Merlo;Movil 14 Moreno - 113665-1848;Todos los dias 24 hs
POZO_MORENO_ME045;ALVAREZ JONTE 700 E/ LOS ALELIES Y LAS MARIMONIAS;Movil 14 Moreno - 113665-1848;Todos los dias 24 hs
POZO_MORENO_ME046;LAS RETAMAS 1448 casi JURAMENTO;Movil 14 Moreno - 113665-1848;Todos los dias 24 hs
POZO_MORENO_ME047;ALVAREZ JONTE e/ LOS GERANIOS Y LOS JAZMINES;Movil 14 Moreno - 113665-1848;Todos los dias 24 hs
POZO_MORENO_ME049;GABRIELA MISTRAL 3853 casi ALTE BROWN;Movil 14 Moreno - 113665-1848;Todos los dias 24 hs
POZO_MORENO_ME051;GARMENDIA 3795 e/ MIGUEL ZÁRRAGA Y FRANCISCO E. GURRUCHAGA;Movil 14 Moreno - 113665-1848;Todos los dias 24 hs
POZO_MORENO_ME053;MIGUEL ZÁRRAGA e LUIS J. DAGUERRE Y JUAN PEDERNERA;Movil 14 Moreno - 113665-1848;Todos los dias 24 hs
POZO_MORENO_ME054;GAVILAN casi MIGUEL ZÁRRAGA;Movil 14 Moreno - 113665-1848;Todos los dias 24 hs
POZO_MORENO_ME080;Federico Lacroze casi esq. Gregorio Matorras;Movil 14 Moreno - 113665-1848;Todos los dias 24 hs
POZO_MORENO_ME081;Strauss esq. Juan Sebastian Bach - Merlo - Merlo;Movil 14 Moreno - 113665-1848;Todos los dias 24 hs
POZO_MERLO_ME091;Podestá y Pedro Echagüe - Merlo;Movil 14 Moreno - 113665-1848;Todos los dias 24 hs
POZO_MERLO_ME088;Lorenzini 649-695 (entre Dean Funes y Fraga) - Merlo;Movil 14 Moreno - 113665-1848;Todos los dias 24 hs
POZO_MERLO_ME092;Cassaux 1723 (casi esq. Carcavallo) - Merlo;Movil 14 Moreno - 113665-1848;Todos los dias 24 hs
POZO_MERLO_ME090;Angel Rodriguez y Curapaligue - Merlo;Movil 14 Moreno - 113665-1848;Todos los dias 24 hs
POZO_MERLO_ME093;Morse y Iriarte - Merlo;Movil 14 Moreno - 113665-1848;Todos los dias 24 hs
POZO_MERLO_ME094;Brasil y Guardia Vieja - Merlo;Movil 14 Moreno - 113665-1848;Todos los dias 24 hs
POZO_MORENO_MR078;Alberti y Marcos Paz - Moreno;Movil 14 Moreno - 113665-1848;Todos los dias 24 hs
POZO_MERLO_ME087;Belén y Avenida Argentina - Merlo;Movil 14 Moreno - 113665-1848;Todos los dias 24 hs
POZO_MORENO_MR073;Ricardo Gutiérrez y Carlos Pedrell - Moreno;Movil 14 Moreno - 113665-1848;Todos los dias 24 hs
POZO_MORENO_MR089;Gervasio Posadas y Pavon - Moreno;Movil 14 Moreno - 113665-1848;Todos los dias 24 hs
POZO_MERLO_ME103;Los Arrieros y San Martín - Merlo;Movil 14 Moreno - 113665-1848;Todos los dias 24 hs
POZO_MORENO_MR066;Venezuela 5700 - Moreno;Movil 14 Moreno - 113665-1848;Todos los dias 24 hs
POZO_MERLO_ME085;Caaguazú entre Fleming y Aristobulo del Valle - Merlo;Movil 14 Moreno - 113665-1848;Todos los dias 24 hs
POZO_MORENO_MR077;Teniente Ibañez y 9 de Julio – Moreno.;Movil 14 Moreno - 113665-1848;Todos los dias 24 hs
POZO_MERLO_MR004;Crisologo Larralde 1341 e/Joaquín V. González y C. Ricardo Gutiérrez.;Movil 14 Moreno - 113665-1848;Todos los dias 24 hs
POZO_MERLO_ME100;Republiquetas y Av.  De la Unión. Partido de Merlo.;Movil 18 Glez Catan - 115005-4118;Todos los dias 24 hs
POZO_MERLO_ME097;Orán y Av. De la Unión. Partido de Merlo.;Movil 18 Glez Catan - 115005-4118;Todos los dias 24 hs
POZO_MERLO_ME101;Juan Maza y Pte. Raúl Alfonsín. Partido de Merlo.;Movil 15 Moron - 116381-1091;Todos los dias 24 hs
POZO_MERLO_ME095;Sullivan y Sargento Cabral. Partido de Merlo.;Movil 15 Moron - 116381-1091;Todos los dias 24 hs
POZO_MERLO_ME099;De Roma (dentro de la cortada) - PONTEVEDRA - MERLO;Movil 18 Glez Catan - 115005-4118;Todos los dias 24 hs
POZO_MERLO_ME098;Orán y Tasso, Pontevedra - Merlo;Movil 18 Glez Catan - 115005-4118;Todos los dias 24 hs
POZO_SAN MIGUEL_MI062;Isabel La Católica y Güemes - San Miguel;Movil 16 San Miguel - 112027-5726;Todos los dias 24 hs
POZO_SAN MIGUEL_MI065;Italia y Defensa - San Miguel;Movil 16 San Miguel - 112027-5726;Todos los dias 24 hs
POZO_PILAR_PI080;Monseñor D`Andrea y La Carreta, Pilar;Movil 13 Tigre - 112294-6632;Todos los dias 24 hs
POZO_SAN MIGUEL_MI061;Luis Salguero y Tomás A. Edison - San Miguel;Movil 16 San Miguel - 112027-5726;Todos los dias 24 hs
POZO_PILAR_PI105;Isla Candelaria y Libertad - Pilar;Movil 13 Tigre - 112294-6632;Todos los dias 24 hs
POZO_SAN MIGUEL_MI024;E. Ferreyra 4200 e/T. Guido - José C. Paz;Movil 16 San Miguel - 112027-5726;Todos los dias 24 hs
POZO_SAN MIGUEL_MI063;Calle Libertad y Egipto, Muñiz  - San Miguel;Movil 16 San Miguel - 112027-5726;Todos los dias 24 hs
POZO_SAN MIGUEL_MI064;Calle San Nicolas y Gral. Las Heras - San Miguel;Movil 16 San Miguel - 112027-5726;Todos los dias 24 hs
POZO_PILAR_PI059;Predio Campo Suite II, frente a Parque Austral;Movil 13 Tigre - 112294-6632;Todos los dias 24 hs
POZO_MORENO_MR039;Barker 1700 e/E. Larreta y M. Vedia.;Movil 16 San Miguel - 112027-5726;Todos los dias 24 hs
POZO_MALVINAS ARG_MA017;Alfredo Palacios y Juan Francisco Seguí, Tortuguitas, Malvinas Argentinas;Movil 16 San Miguel - 112027-5726;Todos los dias 24 hs
POZO_PILAR_PI076;Vasco Da Gama esquina Gatti, Pilar;Movil 13 Tigre - 112294-6632;Todos los dias 24 hs
POZO_PILAR_PI078;Vasco Da Gama esquina Camino Interno Villa la Comercial, Pilar;Movil 13 Tigre - 112294-6632;Todos los dias 24 hs
POZO_MORENO_MR075;Diego Villarroel 785 y Ceferubi Namuncurá - Moreno;Movil 16 San Miguel - 112027-5726;Todos los dias 24 hs
POZO_MORENO_MR030;Perdriel esq. Evaristo Carriego - Moreno;Movil 16 San Miguel - 112027-5726;Todos los dias 24 hs
POZO_MORENO_MR032;Florencio Sánchez entre gral. Pintos y pitagoras , Trujuy. Partido de Moreno;Movil 16 San Miguel - 112027-5726;Todos los dias 24 hs
POZO_MORENO_MR031;R. Rojas, entre Libano y pintos, Trujuy. Partido de Moreno;Movil 16 San Miguel - 112027-5726;Todos los dias 24 hs
POZO_SAN MIGUEL_MI066;Dr. Enrique Finochietto 5800, José C. Paz.;Movil 16 San Miguel - 112027-5726;Todos los dias 24 hs
POZO_MALVINAS ARG_MA018;11 de Septiembre y Oliden, partido de Malvinas Argentinas;Movil 16 San Miguel - 112027-5726;Todos los dias 24 hs
POZO_SAN MIGUEL_MI025;T. Guido 5900 e/Uriarte - José C. Paz;Movil 16 San Miguel - 112027-5726;Todos los dias 24 hs
POZO_PILAR_PI075;Av. Ricardo Levene casi esq. Guatemala - Pilar;Movil 13 Tigre - 112294-6632;Todos los dias 24 hs
